,date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
1397,2023-06-15,2023,0,,LAD,CHW,1563.82964454766,1484.79648006897,0.6440776195670074,0.3559223804329926,,,1559.36349103462,1485.54044209633,Michael Grove,Dylan Cease,43.9339869925974,55.4779804060983,-39.89679753809852,14.019648126083904,0.562852447772405,0.437147552227595,,,,
1398,2023-06-15,2023,0,,SDP,CLE,1524.81801399184,1505.27316970283,0.5623399944367543,0.4376600055632457,,,1540.97163995535,1513.90772287785,Ryan Weathers,Logan Allen,41.1330165147954,51.187573423278,-52.88663888341967,-8.52525253696833,0.5096445206882212,0.4903554793117788,,,,
1399,2023-06-15,2023,0,,HOU,WSN,1564.9828486762,1453.43323081748,0.6857418199498804,0.3142581800501196,,,1559.93795248522,1437.58809845748,Cristian Javier,MacKenzie Gore,59.0854292909082,49.9224894092027,22.514179107216755,13.72647872562098,0.7095178549755545,0.2904821450244454,,,,
1400,2023-06-15,2023,0,,TEX,ANA,1534.32427034773,1508.55745244853,0.5711343650200382,0.4288656349799618,,,1535.45126383553,1517.99370652775,Nathan Eovaldi,Shohei Ohtani,59.7681485044093,59.3072833679108,17.02739125511847,36.15733922279817,0.5320878520928242,0.4679121479071758,,,,
1401,2023-06-15,2023,0,,CHC,PIT,1486.93921456272,1469.49683319805,0.5593591290469828,0.4406408709530172,,,1486.06400081313,1466.96406544016,Marcus Stroman,Johan Oviedo,58.3079595529663,49.8216716513263,28.01477215220744,0.6633945284596948,0.6000204597324695,0.3999795402675304,,,,
1402,2023-06-15,2023,0,,ATL,COL,1559.30334939297,1458.73240979649,0.6719654464796486,0.3280345535203514,,,1562.10255667752,1443.53728086446,AJ Smith-Shawver,Kyle Freeland,48.1071141602696,53.7702371957066,-22.461239568301902,20.536435958778604,0.6400480119060887,0.3599519880939112,,,,
1403,2023-06-15,2023,0,,MIN,DET,1515.33931233235,1451.65524096621,0.6235749687063712,0.3764250312936288,,,1528.0644352468,1442.98187960471,Sonny Gray,Matthew Boyd,57.7710204327278,48.7244955734824,11.966122256986042,-9.354178945157448,0.6824874169167988,0.3175125830832012,,,,
1404,2023-06-15,2023,0,,ARI,PHI,1516.22266782752,1519.23105856176,0.5301726487568402,0.4698273512431598,,,1503.55241914306,1520.65704058996,Ryne Nelson,Aaron Nola,49.0354410955036,56.7948190536885,-10.299334806275748,12.099910068847416,0.4777029407280817,0.5222970592719183,,,,
1405,2023-06-15,2023,0,,OAK,TBD,1422.16628260488,1570.06878476473,0.3288832842480402,0.6711167157519597,,,1408.57393658448,1567.45548494845,Paul Blackburn,Taj Bradley,48.1336910918061,50.2182334872315,12.283273480291916,-23.362260908674152,0.3609488092672714,0.6390511907327285,,,,
1406,2023-06-15,2023,0,,BAL,TOR,1523.37362847605,1539.10779206187,0.5118932509980537,0.4881067490019463,,,1509.23670080847,1544.13140938802,Tyler Wells,Yusei Kikuchi,54.7016240807356,47.0912579171821,18.38595750038007,-28.09857430562691,0.5510394770500381,0.4489605229499619,,,,
