team1,team2,rating_prob1,rating_prob2,HOME_ML,home_odds_req,AWAY_ML,away_odds_req
SEA,FLA,0.5070205334350096,0.4929794665649903,-120,113.00912463704697,+100,119.07606163098112
OAK,TBD,0.3345347371395101,0.6654652628604899,+220,222.8364292553603,-260,-160.53305145246006
ARI,PHI,0.5186187669475332,0.4813812330524668,-110,108.24545288953259,-110,124.35440475143919
KCR,CIN,0.506098830826592,0.493901169173408,-110,113.397054926224,-110,118.6672288724252
TEX,ANA,0.5430055620079749,0.4569944379920251,-155,-101.11940154136921,+135,136.32672746420755
STL,SFG,0.4668371523260168,0.5331628476739831,+110,131.3440553346919,-130,102.56475197243962
BOS,COL,0.6670599661643947,0.3329400338356053,-215,-161.53918523432782,+185,224.38273870461256
DET,ATL,0.3501542904602903,0.6498457095397097,+195,208.43546100214897,-230,-151.07270204008347
