GAMEDATE,HOME,AWAY,HOME_SCORE,AWAY_SCORE,HOME_ML,AWAY_ML,HOME_RATING,AWAY_RATING,HOME_PROB,AWAY_PROB,OU_LINE,OU_RESULT,H_ODDS,A_ODDS,SUM_ODDS,H_ADV,A_ADV,H_ADV_PCT,A_ADV_PCT,H_PROFIT,A_PROFIT
2023-06-05,SDP,CHC,5,0,-175.0,145.0,1515.46949153217,1488.11744083439,0.5733680578752695,0.4266319421247305,9.0,U,0.6092362344582594,0.39076376554174075,1.0445269016697587,-0.03586817658298991,0.03586817658298974,-0.05887400412893096,0.09178992461919644,0.5714285714285714,-1.0
2023-06-05,TEX,STL,4,3,-145.0,125.0,1538.60889312566,1505.36196360909,0.5816474028506071,0.4183525971493929,10.0,U,0.5711159737417943,0.42888402625820565,1.036281179138322,0.010531429108812773,-0.010531429108812773,0.01844008851619705,-0.024555423993507297,0.6896551724137931,-1.0
2023-06-05,CIN,MIL,2,0,-115.0,105.0,1461.61211927445,1509.46913755617,0.4657208495611887,0.5342791504388114,9.5,U,0.5230171935662784,0.47698280643372154,1.022688598979013,-0.057296344005089705,0.057296344005089817,-0.10954963758343239,0.12012245144322908,0.8695652173913043,-1.0
2023-06-05,TOR,HOU,4,11,-115.0,-105.0,1542.32717783124,1567.71160375969,0.4980076614789004,0.5019923385210996,10.0,O,0.5108342361863488,0.4891657638136511,1.0470788428814521,-0.012826574707448413,0.012826574707448468,-0.02510907413568375,0.02622132548167211,-1.0,0.9523809523809523
2023-06-05,PIT,OAK,5,4,-185.0,153.0,1481.17654185471,1402.84962193858,0.6431450995100854,0.3568549004899146,9.0,P,0.6215390744306487,0.3784609255693513,1.0443797240135912,0.021606025079436653,-0.021606025079436708,0.034762134784894316,-0.057089183109016894,0.5405405405405406,-1.0
2023-06-05,PHI,DET,8,3,-270.0,220.0,1508.34607237565,1463.14717683373,0.5982889695068393,0.4017110304931607,8.5,O,0.7001620745542949,0.299837925445705,1.0422297297297298,-0.10187310504745561,0.10187310504745573,-0.14549931901453728,0.33976057196908216,0.37037037037037035,-1.0
2023-06-05,FLA,KCR,9,6,-165.0,140.0,1483.35363604916,1440.50485120993,0.5950333023558795,0.4049666976441205,7.5,O,0.5990922844175491,0.40090771558245086,1.0393081761006289,-0.004058982061669658,0.004058982061669658,-0.006775220057483988,0.010124479784013651,0.6060606060606061,-1.0
2023-06-05,BOS,TBD,1,4,125.0,-145.0,1510.66619310204,1564.76041110595,0.4567989264494622,0.5432010735505377,8.0,U,0.42888402625820565,0.5711159737417943,1.036281179138322,0.02791490019125653,-0.027914900191256642,0.06508729279287873,-0.04887781374484401,-1.0,0.6896551724137931
2023-06-04,LAD,NYY,1,4,-178.0,146.0,1570.97258182349,1551.83046360717,0.5617693522792796,0.4382306477207204,8.5,U,0.6116667597921439,0.38833324020785603,1.046791834824823,-0.04989740751286431,0.04989740751286437,-0.0815761306529399,0.1284912089579473,-1.0,1.46
2023-06-04,SDP,CHC,1,7,-105.0,-105.0,1519.55779520558,1484.02913716098,0.5848400446990154,0.4151599553009846,9.0,U,0.5,0.5,1.024390243902439,0.0848400446990154,-0.0848400446990154,0.1696800893980308,-0.1696800893980308,-1.0,0.9523809523809523
2023-06-04,ARI,ATL,5,8,-130.0,110.0,1512.73799671137,1554.38867542666,0.4746204618569737,0.5253795381430263,8.5,O,0.5427435387673957,0.4572564612326044,1.041407867494824,-0.06812307691042196,0.06812307691042191,-0.12551614536975186,0.14898220733018364,-1.0,1.1
2023-06-04,SFG,BAL,3,8,-102.0,-108.0,1515.15184536774,1516.81534031772,0.532100601302407,0.467899398697593,8.0,O,0.4930284439486894,0.5069715560513107,1.0241812642802741,0.03907215735371761,-0.03907215735371772,0.07924929653304935,-0.07706972292102954,-1.0,0.9259259259259259
2023-06-04,TEX,SEA,12,3,-160.0,145.0,1535.07706559227,1519.02021601189,0.5573923704688513,0.4426076295311487,8.0,O,0.6012269938650306,0.3987730061349693,1.0235478806907379,-0.043834623396179384,0.043834623396179384,-0.07290860830180856,0.1099237479011883,0.625,-1.0
2023-06-04,MIN,CLE,1,2,-135.0,125.0,1514.75196015037,1501.18199343516,0.553857768727479,0.4461422312725209,7.5,U,0.5638051044083527,0.4361948955916473,1.0189125295508275,-0.009947335680873692,0.009947335680873581,-0.017643216783771898,0.022804796162002816,-1.0,1.25
2023-06-04,KCR,COL,2,0,-150.0,130.0,1438.74654233717,1465.56493899715,0.4959440901306913,0.5040559098693087,9.0,U,0.5798319327731092,0.42016806722689076,1.0347826086956522,-0.08388784264241789,0.08388784264241794,-0.14467613441228588,0.19965306548895478,0.6666666666666666,-1.0
2023-06-04,HOU,ANA,1,2,-150.0,135.0,1569.60374946138,1495.73940390096,0.6372278789819497,0.3627721210180503,9.0,U,0.5850622406639003,0.41493775933609955,1.025531914893617,0.05216563831804932,-0.05216563831804927,0.08916254492659492,-0.12571918834649876,-1.0,1.35
2023-06-04,CHW,DET,6,2,-170.0,141.0,1481.29080429918,1465.34781610758,0.5572306636210235,0.4427693363789765,8.5,U,0.602765926143887,0.39723407385611303,1.0445673889657292,-0.04553526252286355,0.04553526252286344,-0.07554385632606875,0.11463080717329732,0.5882352941176471,-1.0
2023-06-04,NYM,TOR,4,6,-141.0,120.0,1511.47423354751,1540.51552866123,0.4927455022533136,0.5072544977466864,8.5,O,0.5627721335268505,0.4372278664731495,1.039607695209355,-0.07002663127353692,0.07002663127353692,-0.12443158980649116,0.16016049443142544,-1.0,1.2
