Date,Home,Away,Home_Score,Away_Score,OU_Line,Home_ML,Away_ML
2019-03-20,OAK,SEA,7,9,9.0,-145.0,135.0
2019-03-21,OAK,SEA,4,5,9.5,116.0,-126.0
2019-03-28,CIN,PIT,5,3,8.5,-109.0,101.0
2019-03-28,FLA,COL,3,6,7.5,121.0,-131.0
2019-03-28,KCR,CHW,5,3,8.5,-119.0,109.0
2019-03-28,LAD,ARI,12,5,7.5,-165.0,149.0
2019-03-28,MIL,STL,5,4,8.5,-108.0,-102.0
2019-03-28,MIN,CLE,2,0,7.5,-117.0,107.0
2019-03-28,NYY,BAL,7,2,8.5,-363.0,316.0
2019-03-28,OAK,ANA,4,0,8.5,-105.0,-115.0
2019-03-28,PHI,ATL,10,4,8.0,-179.0,150.0
2019-03-28,SDP,SFG,2,0,7.5,-130.0,120.0
2019-03-28,SEA,BOS,12,4,7.0,192.0,-215.0
2019-03-28,TBD,HOU,1,5,6.5,117.0,-129.0
2019-03-28,TEX,CHC,4,12,9.5,101.0,-111.0
2019-03-28,TOR,DET,0,2,9.0,-145.0,130.0
2019-03-28,WSN,NYM,0,2,6.5,-122.0,113.0
2019-03-29,FLA,COL,1,6,7.0,146.0,-156.0
2019-03-29,LAD,ARI,4,5,7.0,-169.0,154.0
2019-03-29,MIL,STL,5,9,8.5,103.0,-113.0
2019-03-29,OAK,ANA,2,6,8.5,-105.0,-105.0
2019-03-29,SDP,SFG,4,1,7.0,-158.0,143.0
2019-03-29,SEA,BOS,6,7,8.0,123.0,-133.0
2019-03-29,TBD,HOU,4,2,7.0,129.0,-140.0
2019-03-29,TOR,DET,6,0,9.0,-121.0,111.0
2019-03-30,FLA,COL,7,3,7.5,115.0,-124.0
2019-03-30,KCR,CHW,8,6,7.5,-127.0,117.0
2019-03-30,LAD,ARI,18,5,7.5,-200.0,165.0
2019-03-30,MIL,STL,4,2,9.0,-130.0,120.0
2019-03-30,MIN,CLE,1,2,7.0,110.0,-121.0
2019-03-30,NYY,BAL,3,5,8.5,-346.0,311.0
2019-03-30,OAK,ANA,4,2,8.5,-121.0,111.0
2019-03-30,PHI,ATL,8,6,9.5,-144.0,129.0
2019-03-30,SDP,SFG,2,3,7.5,-131.0,121.0
2019-03-30,SEA,BOS,6,5,8.5,149.0,-165.0
2019-03-30,TBD,HOU,3,1,8.0,108.0,-118.0
2019-03-30,TEX,CHC,8,6,9.5,144.0,-159.0
2019-03-30,TOR,DET,3,0,8.5,-125.0,115.0
2019-03-30,WSN,NYM,8,11,7.5,-116.0,106.0
2019-03-31,CIN,PIT,0,5,8.0,-127.0,118.0
2019-03-31,FLA,COL,3,0,7.5,140.0,-155.0
2019-03-31,KCR,CHW,3,6,8.5,-128.0,118.0
2019-03-31,LAD,ARI,8,7,7.5,-198.0,178.0
2019-03-31,MIL,STL,5,4,9.0,-108.0,-100.0
2019-03-31,MIN,CLE,9,3,7.0,104.0,-114.0
2019-03-31,NYY,BAL,5,7,8.5,-306.0,276.0
2019-03-31,OAK,ANA,2,1,8.5,-130.0,120.0
2019-03-31,PHI,ATL,5,1,8.0,-145.0,131.0
2019-03-31,SDP,SFG,3,1,7.5,-177.0,163.0
2019-03-31,SEA,BOS,10,8,8.0,131.0,-142.0
2019-03-31,TBD,HOU,3,1,8.5,103.0,-113.0
2019-03-31,TEX,CHC,11,10,8.5,119.0,-129.0
2019-03-31,TOR,DET,3,4,9.0,-152.0,140.0
2019-03-31,WSN,NYM,6,5,7.0,-169.0,140.0
2019-04-01,ATL,CHC,8,0,8.5,-105.0,-105.0
2019-04-01,CIN,MIL,3,4,8.5,102.0,-112.0
2019-04-01,CLE,CHW,5,3,7.5,-159.0,144.0
2019-04-01,FLA,NYM,3,7,7.5,119.0,-129.0
2019-04-01,LAD,SFG,2,4,7.5,-199.0,179.0
2019-04-01,NYY,DET,3,1,8.5,-211.0,191.0
2019-04-01,OAK,BOS,7,0,9.0,127.0,-138.0
2019-04-01,PIT,STL,5,6,7.0,-122.0,112.0
2019-04-01,SDP,ARI,3,10,7.5,-171.0,156.0
2019-04-01,SEA,ANA,6,3,9.0,-112.0,102.0
2019-04-01,TBD,COL,7,1,8.5,-150.0,135.0
2019-04-01,TEX,HOU,1,2,9.5,155.0,-169.0
2019-04-01,TOR,BAL,5,6,9.0,-169.0,145.0
2019-04-02,CIN,MIL,3,4,9.0,106.0,-116.0
2019-04-02,FLA,NYM,5,6,8.0,129.0,-143.0
2019-04-02,KCR,MIN,4,5,7.0,135.0,-159.0
2019-04-02,LAD,SFG,6,5,7.0,-152.0,142.0
2019-04-02,NYY,DET,1,3,7.5,-222.0,180.0
2019-04-02,OAK,BOS,1,0,8.0,156.0,-171.0
2019-04-02,SDP,ARI,5,8,7.5,-117.0,108.0
2019-04-02,SEA,ANA,2,1,8.5,-121.0,110.0
2019-04-02,TBD,COL,4,0,7.0,-170.0,155.0
2019-04-02,TEX,HOU,6,4,9.0,201.0,-221.0
2019-04-02,TOR,BAL,1,2,8.5,-180.0,165.0
2019-04-02,WSN,PHI,2,8,7.0,-180.0,166.0
2019-04-03,ATL,CHC,6,4,9.0,-132.0,122.0
2019-04-03,CIN,MIL,0,1,8.5,-116.0,106.0
2019-04-03,CLE,CHW,3,8,6.5,-184.0,169.0
2019-04-03,FLA,NYM,4,6,6.5,187.0,-207.0
2019-04-03,KCR,MIN,6,7,8.5,125.0,-135.0
2019-04-03,LAD,SFG,5,3,7.0,-189.0,174.0
2019-04-03,NYY,DET,1,2,9.5,-174.0,159.0
2019-04-03,OAK,BOS,3,6,8.5,127.0,-137.0
2019-04-03,PIT,STL,4,5,7.5,-105.0,-110.0
2019-04-03,SDP,ARI,4,1,7.0,-142.0,128.0
2019-04-03,TBD,COL,0,1,6.5,-127.0,117.0
2019-04-03,TEX,HOU,4,0,9.0,193.0,-213.0
2019-04-03,TOR,BAL,5,3,8.5,-147.0,136.0
