Date,Home,Away,Home_Score,Away_Score,OU_Line,Home_ML,Away_ML
2022-04-07,ANA,HOU,1,3,8.5,-123.0,105.0
2022-04-07,ARI,SDP,4,2,9.0,120.0,-140.0
2022-04-07,ATL,CIN,3,6,8.5,-185.0,157.0
2022-04-07,CHC,MIL,5,4,9.0,155.0,-184.0
2022-04-07,KCR,CLE,3,1,7.5,106.0,-125.0
2022-04-07,STL,PIT,9,0,8.0,-160.0,135.0
2022-04-07,WSN,NYM,1,5,9.5,104.0,-122.0
2022-04-08,ANA,HOU,6,13,10.0,-125.0,108.0
2022-04-08,ARI,SDP,0,3,8.5,116.0,-137.0
2022-04-08,ATL,CIN,7,6,9.0,-192.0,162.0
2022-04-08,COL,LAD,3,5,11.5,178.0,-216.0
2022-04-08,DET,CHW,5,4,8.0,120.0,-141.0
2022-04-08,MIN,SEA,1,2,8.0,-109.0,-106.0
2022-04-08,NYY,BOS,6,5,8.0,-157.0,133.0
2022-04-08,PHI,OAK,9,5,8.0,-207.0,172.0
2022-04-08,SFG,FLA,6,5,7.5,-152.0,130.0
2022-04-08,TBD,BAL,2,1,7.5,-191.0,161.0
2022-04-08,TOR,TEX,10,8,9.0,-176.0,147.0
2022-04-08,WSN,NYM,3,7,8.5,145.0,-175.0
2022-04-09,ANA,HOU,2,0,9.0,-109.0,-108.0
2022-04-09,ARI,SDP,2,5,9.5,142.0,-171.0
2022-04-09,ATL,CIN,2,1,9.5,-177.0,152.0
2022-04-09,CHC,MIL,9,0,7.5,137.0,-159.0
2022-04-09,COL,LAD,3,2,12.0,131.0,-155.0
2022-04-09,DET,CHW,2,5,8.5,115.0,-135.0
2022-04-09,KCR,CLE,1,0,8.5,-125.0,105.0
2022-04-09,MIN,SEA,3,4,8.5,-142.0,120.0
2022-04-09,NYY,BOS,4,2,9.0,-162.0,135.0
2022-04-09,PHI,OAK,4,2,9.5,-200.0,170.0
2022-04-09,SFG,FLA,1,2,7.5,-149.0,125.0
2022-04-09,STL,PIT,6,2,8.0,-171.0,144.0
2022-04-09,TBD,BAL,5,3,8.5,-225.0,188.0
2022-04-09,TOR,TEX,4,3,9.5,-220.0,182.0
2022-04-09,WSN,NYM,0,5,9.5,130.0,-154.0
2022-04-10,ANA,HOU,1,4,9.5,-106.0,-110.0
2022-04-10,ARI,SDP,5,10,9.0,135.0,-160.0
2022-04-10,ATL,CIN,3,6,9.0,-185.0,155.0
2022-04-10,CHC,MIL,4,5,7.5,115.0,-137.0
2022-04-10,COL,LAD,9,4,11.0,175.0,-210.0
2022-04-10,DET,CHW,1,10,8.0,114.0,-132.0
2022-04-10,KCR,CLE,3,17,9.0,-118.0,101.0
2022-04-10,MIN,SEA,10,4,8.5,-140.0,120.0
2022-04-10,NYY,BOS,3,4,8.5,-142.0,123.0
2022-04-10,PHI,OAK,1,4,8.5,-235.0,194.0
2022-04-10,SFG,FLA,3,2,7.5,-115.0,-104.0
2022-04-10,STL,PIT,4,9,8.5,-227.0,190.0
2022-04-10,TBD,BAL,8,0,8.0,-177.0,150.0
2022-04-10,TOR,TEX,6,12,9.5,-221.0,184.0
2022-04-10,WSN,NYM,4,2,9.0,118.0,-137.0
2022-04-11,ANA,FLA,6,2,9.5,-122.0,-106.0
2022-04-11,ATL,WSN,2,11,9.5,-235.0,197.0
2022-04-11,BAL,MIL,2,0,9.0,138.0,-162.0
2022-04-11,DET,BOS,3,1,9.5,103.0,-124.0
2022-04-11,KCR,CLE,7,10,8.5,-105.0,-113.0
2022-04-11,MIN,SEA,4,0,9.0,-134.0,115.0
2022-04-11,NYY,TOR,0,3,9.0,-120.0,102.0
2022-04-11,PHI,NYM,5,4,9.5,-148.0,126.0
2022-04-11,SFG,SDP,2,4,8.0,-159.0,135.0
2022-04-11,TBD,OAK,2,13,8.5,-225.0,186.0
2022-04-11,TEX,COL,4,6,10.5,-136.0,115.0
2022-04-12,ANA,FLA,4,3,9.0,-159.0,135.0
2022-04-12,ARI,HOU,1,2,9.0,127.0,-152.0
2022-04-12,ATL,WSN,16,4,9.5,-184.0,155.0
2022-04-12,BAL,MIL,4,5,9.5,136.0,-158.0
2022-04-12,CHW,SEA,3,2,8.5,-115.0,-103.0
2022-04-12,CIN,CLE,5,10,8.0,-115.0,-104.0
2022-04-12,DET,BOS,3,5,8.5,105.0,-125.0
2022-04-12,MIN,LAD,2,7,9.0,123.0,-144.0
2022-04-12,NYY,TOR,4,0,9.5,-132.0,112.0
2022-04-12,PHI,NYM,0,2,8.5,-145.0,124.0
2022-04-12,PIT,CHC,1,2,8.5,-102.0,-120.0
2022-04-12,SFG,SDP,13,2,7.5,-126.0,105.0
2022-04-12,STL,KCR,6,5,9.0,-168.0,143.0
2022-04-12,TBD,OAK,9,8,8.5,-211.0,172.0
2022-04-12,TEX,COL,1,4,10.0,-161.0,136.0
2022-04-13,ARI,HOU,3,2,8.5,139.0,-162.0
2022-04-13,ATL,WSN,1,3,9.0,-230.0,189.0
2022-04-13,BAL,MIL,2,4,8.0,150.0,-178.0
2022-04-13,CHW,SEA,6,4,9.0,-120.0,-101.0
2022-04-13,CIN,CLE,3,7,9.0,-127.0,108.0
2022-04-13,DET,BOS,7,9,7.5,115.0,-135.0
2022-04-13,MIN,LAD,0,7,8.5,167.0,-200.0
2022-04-13,NYY,TOR,4,6,8.0,-174.0,147.0
2022-04-13,PHI,NYM,6,9,9.0,-105.0,-117.0
2022-04-13,PIT,CHC,6,2,9.0,108.0,-126.0
2022-04-13,SFG,SDP,2,1,7.5,-117.0,100.0
2022-04-13,TBD,OAK,2,4,7.5,-200.0,165.0
2022-04-14,CHW,SEA,1,5,9.0,-103.0,-115.0
2022-04-14,COL,CHC,2,5,11.0,-133.0,112.0
2022-04-14,FLA,PHI,4,3,8.0,-119.0,-101.0
2022-04-14,KCR,DET,2,4,8.5,-137.0,116.0
2022-04-14,LAD,CIN,9,3,8.5,-288.0,232.0
2022-04-14,MIL,STL,5,1,8.0,-147.0,125.0
2022-04-14,NYY,TOR,3,0,8.5,-142.0,120.0
2022-04-14,PIT,WSN,9,4,9.0,-130.0,110.0
2022-04-14,SDP,ATL,12,1,7.5,-109.0,-108.0
2022-04-14,TBD,OAK,3,6,8.0,-230.0,189.0
2022-04-14,TEX,ANA,10,5,8.5,128.0,-150.0
2022-04-15,BAL,NYY,2,1,9.5,178.0,-215.0
2022-04-15,BOS,MIN,4,8,10.0,-126.0,107.0
2022-04-15,CHW,TBD,3,2,8.0,-135.0,115.0
2022-04-15,CLE,SFG,1,4,7.5,135.0,-155.0
2022-04-15,COL,CHC,6,5,10.5,-125.0,105.0
2022-04-15,FLA,PHI,7,1,7.5,-131.0,112.0
2022-04-15,KCR,DET,1,2,8.0,-132.0,111.0
2022-04-15,LAD,CIN,3,1,9.0,-295.0,240.0
2022-04-15,MIL,STL,1,10,8.5,-165.0,140.0
2022-04-15,NYM,ARI,10,3,8.0,-245.0,205.0
2022-04-15,PIT,WSN,2,7,9.0,-120.0,100.0
2022-04-15,SDP,ATL,2,5,8.5,-109.0,-107.0
2022-04-15,SEA,HOU,11,1,8.0,-103.0,-115.0
2022-04-15,TEX,ANA,6,9,10.5,101.0,-118.0
2022-04-15,TOR,OAK,4,1,9.0,-202.0,170.0
2022-04-16,BAL,NYY,2,5,8.5,155.0,-185.0
2022-04-16,BOS,MIN,4,0,9.5,-145.0,122.0
2022-04-16,CHW,TBD,3,2,8.0,-131.0,112.0
2022-04-16,CLE,SFG,2,4,8.0,-109.0,-107.0
2022-04-16,COL,CHC,9,6,11.5,-115.0,-105.0
2022-04-16,FLA,PHI,3,10,8.5,-142.0,120.0
2022-04-16,KCR,DET,3,1,8.0,-157.0,135.0
2022-04-16,LAD,CIN,5,2,8.5,-227.0,182.0
2022-04-16,MIL,STL,1,2,8.5,-117.0,100.0
2022-04-16,NYM,ARI,2,3,8.5,-175.0,145.0
2022-04-16,PIT,WSN,6,4,9.5,-115.0,-104.0
2022-04-16,SDP,ATL,2,5,8.0,-111.0,-106.0
2022-04-16,SEA,HOU,0,4,7.5,125.0,-145.0
2022-04-16,TEX,ANA,2,7,9.0,107.0,-127.0
2022-04-16,TOR,OAK,5,7,8.5,-211.0,175.0
2022-04-17,BAL,NYY,5,0,8.5,164.0,-197.0
2022-04-17,BOS,MIN,8,1,9.5,-125.0,105.0
2022-04-17,CHW,TBD,3,9,8.5,-115.0,-104.0
2022-04-17,CLE,SFG,1,8,7.5,106.0,-125.0
2022-04-17,COL,CHC,4,6,11.5,-129.0,111.0
2022-04-17,FLA,PHI,11,3,8.0,125.0,-147.0
2022-04-17,LAD,CIN,9,1,8.5,-216.0,180.0
2022-04-17,MIL,STL,6,5,9.0,-139.0,118.0
2022-04-17,NYM,ARI,5,0,7.5,-200.0,165.0
2022-04-17,PIT,WSN,5,3,8.0,105.0,-120.0
2022-04-17,SDP,ATL,2,1,8.0,-130.0,110.0
2022-04-17,SEA,HOU,7,2,7.5,-106.0,-113.0
2022-04-17,TEX,ANA,3,8,9.5,-107.0,-109.0
2022-04-17,TOR,OAK,4,3,8.5,-275.0,222.0
2022-04-18,BOS,MIN,3,8,8.5,-142.0,122.0
2022-04-18,CHC,TBD,4,2,8.0,125.0,-145.0
2022-04-18,COL,PHI,4,1,11.5,140.0,-165.0
2022-04-18,HOU,ANA,8,3,8.5,-145.0,124.0
2022-04-18,LAD,ATL,7,4,8.0,-226.0,186.0
2022-04-18,MIL,PIT,6,1,8.5,-182.0,155.0
2022-04-18,OAK,BAL,5,1,7.5,-198.0,163.0
2022-04-18,SDP,CIN,4,1,7.0,-200.0,165.0
2022-04-19,BOS,TOR,2,1,9.5,-140.0,120.0
2022-04-19,CHC,TBD,5,6,8.5,111.0,-132.0
2022-04-19,COL,PHI,6,5,12.0,120.0,-140.0
2022-04-19,DET,NYY,2,4,7.5,187.0,-231.0
2022-04-19,FLA,STL,1,5,8.5,-105.0,-113.0
2022-04-19,HOU,ANA,2,7,8.0,-175.0,145.0
2022-04-19,KCR,MIN,4,3,8.5,106.0,-129.0
2022-04-19,LAD,ATL,1,3,8.0,-166.0,140.0
2022-04-19,MIL,PIT,5,2,7.5,-276.0,220.0
2022-04-19,NYM,SFG,5,4,7.0,-125.0,105.0
2022-04-19,NYM,SFG,3,1,6.5,-126.0,108.0
2022-04-19,OAK,BAL,2,1,8.0,-125.0,110.0
2022-04-19,SDP,CIN,6,2,7.5,-228.0,187.0
2022-04-19,SEA,TEX,6,2,8.0,-142.0,122.0
2022-04-19,WSN,ARI,6,1,8.5,-150.0,130.0
2022-04-19,WSN,ARI,1,0,8.5,-131.0,110.0
2022-04-20,BOS,TOR,1,6,9.5,105.0,-126.0
2022-04-20,CHC,TBD,2,8,9.0,-109.0,-110.0
2022-04-20,CLE,CHW,11,1,7.5,-157.0,132.0
2022-04-20,CLE,CHW,2,1,7.5,-150.0,130.0
2022-04-20,COL,PHI,6,9,10.5,-104.0,-114.0
2022-04-20,DET,NYY,3,5,7.0,145.0,-170.0
2022-04-20,FLA,STL,0,2,7.5,-143.0,123.0
2022-04-20,HOU,ANA,0,6,9.0,101.0,-120.0
2022-04-20,KCR,MIN,2,0,9.0,110.0,-129.0
2022-04-20,LAD,ATL,5,1,8.5,-134.0,115.0
2022-04-20,MIL,PIT,4,2,8.0,-250.0,210.0
2022-04-20,NYM,SFG,2,5,6.5,104.0,-123.0
2022-04-20,OAK,BAL,0,1,8.0,-127.0,110.0
2022-04-20,SDP,CIN,6,0,8.5,-195.0,163.0
2022-04-20,SEA,TEX,4,2,8.0,-159.0,135.0
2022-04-20,WSN,ARI,2,11,8.0,-120.0,-101.0
2022-04-21,BOS,TOR,2,3,8.5,-102.0,-115.0
2022-04-21,CHC,PIT,3,4,9.0,-169.0,145.0
2022-04-21,CLE,CHW,6,3,7.5,125.0,-148.0
2022-04-21,DET,NYY,3,0,8.5,145.0,-175.0
2022-04-21,FLA,STL,5,0,7.5,-134.0,114.0
