Date,Home,Away,Home_Score,Away_Score,OU_Line,Home_ML,Away_ML
2021-04-01,ANA,CHW,4,3,8.0,101.0,-125.0
2021-04-01,CHC,PIT,3,5,6.5,-220.0,185.0
2021-04-01,CIN,STL,6,11,7.0,-128.0,110.0
2021-04-01,COL,LAD,8,5,11.0,186.0,-222.0
2021-04-01,DET,CLE,3,2,7.5,155.0,-182.0
2021-04-01,FLA,TBD,0,1,7.5,136.0,-158.0
2021-04-01,KCR,TEX,14,10,8.5,-160.0,137.0
2021-04-01,MIL,MIN,6,5,7.5,-115.0,102.0
2021-04-01,NYY,TOR,2,3,8.0,-195.0,165.0
2021-04-01,OAK,HOU,1,8,8.0,-105.0,-110.0
2021-04-01,PHI,ATL,3,2,7.5,-124.0,107.0
2021-04-01,SDP,ARI,8,7,8.5,-245.0,202.0
2021-04-01,SEA,SFG,8,7,8.0,105.0,-120.0
2021-04-02,ANA,CHW,8,12,8.5,-120.0,-100.0
2021-04-02,BOS,BAL,0,3,9.5,-167.0,145.0
2021-04-02,COL,LAD,6,11,11.5,217.0,-257.0
2021-04-02,FLA,TBD,4,6,7.5,-114.0,-105.0
2021-04-02,OAK,HOU,5,9,8.5,-123.0,105.0
2021-04-02,SDP,ARI,4,2,7.5,-220.0,185.0
2021-04-02,SEA,SFG,3,6,8.5,-115.0,100.0
2021-04-03,ANA,CHW,5,3,9.0,105.0,-122.0
2021-04-03,BOS,BAL,2,4,9.5,-177.0,149.0
2021-04-03,CHC,PIT,5,1,11.0,-167.0,145.0
2021-04-03,CIN,STL,9,6,9.0,-120.0,100.0
2021-04-03,COL,LAD,5,6,11.5,198.0,-235.0
2021-04-03,DET,CLE,5,2,8.0,140.0,-164.0
2021-04-03,FLA,TBD,12,7,7.5,-110.0,-109.0
2021-04-03,KCR,TEX,11,4,9.0,-169.0,144.0
2021-04-03,MIL,MIN,0,2,7.5,-132.0,114.0
2021-04-03,NYY,TOR,5,3,9.0,-172.0,145.0
2021-04-03,OAK,HOU,1,9,9.0,115.0,-134.0
2021-04-03,PHI,ATL,4,0,8.0,102.0,-117.0
2021-04-03,SDP,ARI,7,0,8.5,-215.0,175.0
2021-04-03,SEA,SFG,4,0,9.0,105.0,-121.0
2021-04-04,ANA,CHW,7,4,9.0,-126.0,105.0
2021-04-04,BOS,BAL,3,11,9.5,-176.0,150.0
2021-04-04,CHC,PIT,4,3,8.5,-192.0,167.0
2021-04-04,CIN,STL,12,1,9.5,104.0,-120.0
2021-04-04,COL,LAD,2,4,11.5,185.0,-227.0
2021-04-04,DET,CLE,3,9,8.0,120.0,-137.0
2021-04-04,KCR,TEX,3,7,10.0,-168.0,145.0
2021-04-04,MIL,MIN,2,8,8.0,-112.0,-105.0
2021-04-04,NYY,TOR,1,3,9.5,-190.0,163.0
2021-04-04,OAK,HOU,2,9,8.5,-118.0,100.0
2021-04-04,PHI,ATL,2,1,8.5,100.0,-120.0
2021-04-04,SDP,ARI,1,3,9.0,-212.0,180.0
2021-04-05,ANA,HOU,7,6,10.0,-115.0,-101.0
2021-04-05,BOS,TBD,11,2,9.5,-107.0,-109.0
2021-04-05,CHC,MIL,5,3,9.5,-115.0,-101.0
2021-04-05,CIN,PIT,5,3,9.0,-159.0,135.0
2021-04-05,CLE,KCR,0,3,9.0,-136.0,116.0
2021-04-05,DET,MIN,6,15,8.5,132.0,-154.0
2021-04-05,FLA,STL,1,4,8.5,-117.0,101.0
2021-04-05,NYY,BAL,7,0,9.5,-240.0,197.0
2021-04-05,OAK,LAD,3,10,8.5,139.0,-159.0
2021-04-05,PHI,NYM,5,3,7.5,176.0,-210.0
2021-04-05,SDP,SFG,2,3,8.0,-155.0,135.0
2021-04-05,SEA,CHW,0,6,8.0,110.0,-130.0
2021-04-05,TEX,TOR,2,6,9.5,132.0,-153.0
2021-04-06,ANA,HOU,2,4,9.0,-111.0,-104.0
2021-04-06,BOS,TBD,6,5,9.0,144.0,-165.0
2021-04-06,CHC,MIL,0,4,9.5,-115.0,-102.0
2021-04-06,CIN,PIT,14,1,9.0,-167.0,143.0
2021-04-06,COL,ARI,8,10,10.5,-129.0,110.0
2021-04-06,DET,MIN,4,3,9.0,130.0,-153.0
2021-04-06,FLA,STL,2,4,7.5,-129.0,110.0
2021-04-06,NYY,BAL,7,2,8.0,-315.0,256.0
2021-04-06,OAK,LAD,1,5,8.5,150.0,-175.0
2021-04-06,PHI,NYM,4,8,9.0,111.0,-130.0
2021-04-06,SDP,SFG,3,1,8.0,-193.0,165.0
2021-04-06,SEA,CHW,4,10,7.0,135.0,-160.0
2021-04-06,TEX,TOR,7,4,9.5,117.0,-138.0
2021-04-06,WSN,ATL,6,5,7.5,-117.0,102.0
2021-04-07,BOS,TBD,9,2,8.5,-116.0,102.0
2021-04-07,CHC,MIL,2,4,8.5,-106.0,-110.0
2021-04-07,CIN,PIT,11,4,8.0,-230.0,189.0
2021-04-07,CLE,KCR,4,2,8.0,-202.0,173.0
2021-04-07,COL,ARI,8,0,11.5,105.0,-119.0
2021-04-07,DET,MIN,2,3,8.5,155.0,-179.0
2021-04-07,FLA,STL,0,7,7.0,102.0,-118.0
2021-04-07,NYY,BAL,3,4,8.5,-195.0,172.0
2021-04-07,OAK,LAD,4,3,7.5,143.0,-168.0
2021-04-07,PHI,NYM,8,2,8.5,-174.0,149.0
2021-04-07,SDP,SFG,2,3,7.0,-155.0,133.0
2021-04-07,SEA,CHW,8,4,8.5,130.0,-154.0
2021-04-07,TEX,TOR,2,1,8.5,166.0,-194.0
2021-04-07,WSN,ATL,6,7,6.5,155.0,-180.0
2021-04-07,WSN,ATL,0,2,8.0,-155.0,131.0
2021-04-08,BAL,BOS,3,7,9.0,135.0,-154.0
2021-04-08,CHW,KCR,6,0,8.0,-180.0,155.0
2021-04-08,COL,ARI,7,3,11.0,-131.0,114.0
2021-04-08,HOU,OAK,6,2,10.0,-175.0,145.0
2021-04-08,MIN,SEA,10,2,8.0,-215.0,185.0
2021-04-08,NYM,FLA,3,2,8.5,-199.0,168.0
2021-04-08,PIT,CHC,2,4,8.5,134.0,-154.0
2021-04-08,STL,MIL,3,1,7.5,125.0,-148.0
2021-04-08,TOR,ANA,5,7,10.0,-109.0,-107.0
2021-04-09,ARI,CIN,5,6,9.5,130.0,-152.0
2021-04-09,ATL,PHI,8,1,7.5,-130.0,114.0
2021-04-09,CLE,DET,4,1,9.5,-200.0,170.0
2021-04-09,HOU,OAK,2,6,9.0,-190.0,163.0
2021-04-09,LAD,WSN,1,0,8.5,-295.0,245.0
2021-04-09,SFG,COL,3,1,8.5,-162.0,140.0
2021-04-09,TBD,NYY,10,5,8.0,120.0,-140.0
2021-04-09,TEX,SDP,0,3,9.0,170.0,-195.0
2021-04-09,TOR,ANA,1,7,11.0,-109.0,-125.0
2021-04-10,ARI,CIN,8,3,9.5,110.0,-125.0
2021-04-10,ATL,PHI,5,4,8.0,-145.0,125.0
2021-04-10,BAL,BOS,4,6,9.5,113.0,-132.0
2021-04-10,CLE,DET,11,3,8.5,-167.0,143.0
2021-04-10,HOU,OAK,3,7,9.0,-156.0,135.0
2021-04-10,LAD,WSN,9,5,7.5,-180.0,151.0
2021-04-10,MIN,SEA,3,4,8.0,-190.0,170.0
2021-04-10,NYM,FLA,0,3,6.5,-290.0,235.0
2021-04-10,PIT,CHC,8,2,8.5,140.0,-166.0
2021-04-10,SFG,COL,4,3,8.5,-175.0,150.0
2021-04-10,STL,MIL,5,9,8.0,-120.0,104.0
2021-04-10,TBD,NYY,4,0,9.5,120.0,-140.0
