AWAY,AWAY_ML,HOME,HOME_ML,PULL_DATE,PULL_TIMESTAMP
TOR,+1200,BAL,−3000,20230613,203328
NYY,−175,NYM,+140,20230613,203328
COL,−220,BOS,+180,20230613,203328
MIL,−135,MIN,+105,20230613,203328
SFG,−110,STL,−120,20230613,203328
ANA,+135,TEX,−165,20230613,203328
WSN,+260,HOU,−335,20230613,203328
CIN,−115,KCR,−115,20230613,203328
ATL,−260,DET,+220,20230613,203328
PIT,+110,CHC,−130,20230613,203328
PHI,−140,ARI,+120,20230613,203328
TBD,−205,OAK,+175,20230613,203328
CLE,+140,SDP,−165,20230613,203328
FLA,+140,SEA,−165,20230613,203328
CHW,+160,LAD,−190,20230613,203328
