AWAY,AWAY_ML,HOME,HOME_ML,PULL_DATE,PULL_TIMESTAMP
TOR,−125,BAL,+105,20230613,224309
NYY,+140,NYM,−165,20230613,224309
COL,+185,BOS,−215,20230613,224309
ATL,−265,DET,+225,20230613,224309
MIL,+110,MIN,−130,20230613,224309
SFG,−110,STL,−110,20230613,224309
