AWAY,AWAY_ML,HOME,HOME_ML,PULL_DATE,PULL_TIMESTAMP
OAK,NL,MIL,NL,20230611,172540
SDP,+150,COL,−185,20230611,172540
CHC,+320,SFG,−425,20230611,172540
SEA,+1000,ANA,−2100,20230611,172540
BOS,+100,NYY,−120,20230611,172540
