AWAY,AWAY_ML,HOME,HOME_ML,PULL_DATE,PULL_TIMESTAMP
TOR,+100,BAL,−120,20230615,080548
TBD,−205,OAK,+175,20230615,080548
PHI,−130,ARI,+110,20230615,080548
DET,+170,MIN,−200,20230615,080548
COL,+205,ATL,−245,20230615,080548
ANA,+105,TEX,−125,20230615,080548
PIT,+135,CHC,−155,20230615,080548
WSN,+165,HOU,−195,20230615,080548
CLE,+110,SDP,−130,20230615,080548
CHW,+120,LAD,−140,20230615,080548
