AWAY,AWAY_ML,HOME,HOME_ML,PULL_DATE,PULL_TIMESTAMP
ATL,−230,DET,+195,20230612,212513
COL,+185,BOS,−215,20230612,212513
SFG,−130,STL,+110,20230612,212513
