AWAY,AWAY_ML,HOME,HOME_ML,PULL_DATE,PULL_TIMESTAMP
ATL,−265,DET,+225,20230613,151629
TOR,−125,BAL,+105,20230613,151629
NYY,+140,NYM,−165,20230613,151629
COL,+190,BOS,−225,20230613,151629
MIL,+100,MIN,−120,20230613,151629
SFG,−105,STL,−115,20230613,151629
