GAMEDATE,HOME,AWAY,HOME_SCORE,AWAY_SCORE,HOME_ML,AWAY_ML,HOME_RATING,AWAY_RATING,HOME_PROB,AWAY_PROB,OU_LINE,OU_RESULT,H_ODDS,A_ODDS,H_ADV,A_ADV,H_ADV_PCT,A_ADV_PCT,H_PROFIT,A_PROFIT
2023-06-05,SDP,CHC,5,0,-175.0,145.0,1535.27976860319,1486.37281410811,0.634739000316294,0.365260999683706,9.0,U,0.6092362344582594,0.4011828838137314,0.02550276585803468,-0.035921884130025394,0.041860225008960805,-0.08953992201398076,0.5714285714285714,-1.0
2023-06-05,TEX,STL,4,3,-145.0,125.0,1537.66939102084,1506.59249403986,0.548977421255251,0.451022578744749,10.0,U,0.5711159737417943,0.4376346660282499,-0.022138552486543395,0.013387912716499084,-0.03876367236149547,0.030591527033269506,0.6896551724137931,-1.0
2023-06-05,CIN,MIL,2,0,-115.0,105.0,1455.19032775151,1521.09909659946,0.474370210534488,0.525629789465512,9.5,U,0.5230171935662784,0.4825823374329189,-0.04864698303179038,0.04304745203259308,-0.09301220615728323,0.08920229501473798,0.8695652173913043,-1.0
2023-06-05,TOR,HOU,4,11,-115.0,-105.0,1547.38996791756,1560.34334869306,0.57221521009319,0.42778478990681,10.0,O,0.5108342361863488,0.5006651254697853,0.06138097390684116,-0.07288033556297524,0.12015830098836555,-0.14556703044692798,0.8695652173913043,-1.0
2023-06-05,PIT,OAK,5,4,-185.0,153.0,1475.44818622534,1394.23037596113,0.614114606523162,0.385885393476838,9.0,P,0.6215390744306487,0.3887278474037362,-0.007424467907486743,-0.0028424539268982474,-0.011945295497773456,-0.007312195269473576,0.5405405405405406,-1.0
2023-06-05,PHI,DET,8,3,-270.0,220.0,1514.68771675533,1450.39123772213,0.679908414639023,0.320091585360977,8.5,O,0.7001620745542949,0.30859257777333204,-0.02025365991527195,0.011499007587644938,-0.02892710224009909,0.037262748412864255,0.37037037037037035,-1.0
2023-06-05,FLA,KCR,9,6,-165.0,140.0,1491.4232275316,1433.91172853644,0.612273585822346,0.387726414177654,7.5,O,0.5990922844175491,0.4102023085515701,0.013181301404796897,-0.02247589437391606,0.02200212178932004,-0.05479221814542867,0.6060606060606061,-1.0
2023-06-05,BOS,TBD,1,4,125.0,-145.0,1515.43938018157,1563.25764436668,0.434259124529981,0.565740875470019,8.0,U,0.42888402625820565,0.5798223738898368,0.005375098271775347,-0.014081498419817873,0.012532754643884259,-0.024285883149609666,-1.0,0.6896551724137931
2023-06-04,LAD,NYY,1,4,-178.0,146.0,1564.72259952258,1562.93288751231,0.521135501979589,0.478864498020411,8.5,U,0.6116667597921439,0.3992493745903662,-0.09053125781255489,0.07961512343004479,-0.14800748342662784,0.1994120178941563,-1.0,1.46
2023-06-04,SDP,CHC,1,7,-105.0,-105.0,1537.84559728306,1483.80698542824,0.506710074500888,0.493289925499112,9.0,U,0.5,0.5060240963855421,0.006710074500888008,-0.01273417088643014,0.013420149001776016,-0.025165147227945273,-1.0,0.9523809523809523
2023-06-04,ARI,ATL,5,8,-130.0,110.0,1500.51442441391,1558.05431355708,0.518551624535157,0.481448375464843,8.5,O,0.5427435387673957,0.4673418191953916,-0.024191914232238654,0.014106556269451398,-0.04457338043522363,0.03018466503540873,-1.0,1.1
2023-06-04,SFG,BAL,3,8,-102.0,-108.0,1509.4856190682,1503.44808933661,0.51325890386806,0.48674109613194,8.0,O,0.4930284439486894,0.5129424978014177,0.020230459919370558,-0.026201401669477653,0.04103304823012599,-0.05108058268087068,-1.0,0.9259259259259259
2023-06-04,TEX,SEA,12,3,-160.0,145.0,1535.32478816201,1512.20530455409,0.59610768244835,0.40389231755165,8.0,O,0.6012269938650306,0.4043661622426197,-0.00511931141668065,-0.0004738446909696714,-0.008514773070601445,-0.0011718208277906594,-1.0,1.45
2023-06-04,MIN,CLE,1,2,-135.0,125.0,1528.53021574662,1511.87540742573,0.528506707380264,0.471493292619736,7.5,U,0.5638051044083527,0.44080797749936074,-0.03529839702808879,0.030685315120375256,-0.06260744493459369,0.06961152403467952,-1.0,1.25
2023-06-04,KCR,COL,2,0,-150.0,130.0,1432.59043363845,1447.78065547061,0.495160862068755,0.504839137931245,9.0,U,0.5798319327731092,0.42851998559596693,-0.0846710707043542,0.07631915233527808,-0.14602691904084275,0.17809940002946822,0.6666666666666666,-1.0
2023-06-04,HOU,ANA,1,2,-150.0,135.0,1561.58423347495,1510.1124168401,0.573946033994881,0.426053966005119,9.0,U,0.5850622406639003,0.4210710229754521,-0.011116206669019357,0.0049829430296668975,-0.01900004118605436,0.011833972792655079,-1.0,1.35
2023-06-04,CHW,DET,6,2,-170.0,141.0,1482.72089590987,1451.82099374437,0.602300312603211,0.397699687396789,8.5,U,0.602765926143887,0.4077196194296964,-0.0004656135406759798,-0.010019932032907408,-0.0007724616148339081,-0.02457554543713869,0.5882352941176471,-1.0
2023-06-04,NYM,TOR,4,6,-141.0,120.0,1530.23083026695,1545.78837299482,0.562404023182151,0.437595976817849,8.5,O,0.5627721335268505,0.44680782075808173,-0.00036811034469952375,-0.009211843940232722,-0.0006541019406781645,-0.020617015889747292,-1.0,1.2
2023-06-04,FLA,OAK,7,5,-240.0,195.0,1490.64959956105,1395.00400393168,0.678149382272498,0.321850617727502,7.5,O,0.6755725190839694,0.33411974749729006,0.0025768631885285664,-0.012269129769788056,0.0038143398609857826,-0.03672075614114234,0.4166666666666667,-1.0
